event_id,timestamp,cloud_provider,resource_type,action,actor_type,actor_name,source_ip,region,mfa_used,outcome,severity,risk_score,session_duration_s,anomaly_label
evt-0000000,2025-04-02T00:00:22Z,aws,kms:Key,RunInstances,service_account,svc-account-021,192.168.0.219.92,eu-west-1,False,Success,low,8.43,,0
evt-0000001,2025-04-02T00:02:28Z,aws,rds:Instance,AuthorizeSecurityGroupIngress,user,user-0030,10.1.81.254,ap-southeast-1,False,Failure,medium,50.91,27004.0,0
evt-0000002,2025-04-02T00:06:06Z,azure,Microsoft.Storage/storageAccounts,Microsoft.Compute/disks/write,user,user-0068,192.168.1.167.75,southeastasia,True,Success,high,30.82,6452.0,0
evt-0000003,2025-04-02T00:14:04Z,azure,Microsoft.Web/sites,Microsoft.Storage/storageAccounts/write,service_account,svc-account-006,192.168.1.22.138,northeurope,False,Success,low,21.8,,0
evt-0000004,2025-04-02T00:17:06Z,aws,lambda:Function,DescribeInstances,service_account,svc-account-021,192.168.1.42.59,eu-central-1,False,Success,high,38.93,,0
evt-0000005,2025-04-02T00:17:29Z,aws,kms:Key,CreateKeyPair,service_account,svc-account-020,10.1.151.194,eu-central-1,True,Success,low,18.17,,0
evt-0000006,2025-04-02T00:17:57Z,gcp,compute.instances,compute.instances.insert,service_account,svc-account-026,10.1.234.104,asia-east1,True,Success,low,18.19,,0
evt-0000007,2025-04-02T00:21:12Z,aws,vpc:SecurityGroup,DeleteRole,service_account,svc-account-018,103.21.40.45,eu-central-1,False,Success,high,96.61,,1
evt-0000008,2025-04-02T00:22:10Z,gcp,cloudsql.instances,compute.instances.delete,service_account,svc-account-010,172.17.41.57,us-central1,True,Success,low,14.59,,0
evt-0000009,2025-04-02T00:24:33Z,azure,Microsoft.Sql/servers,Microsoft.Compute/virtualMachines/write,service_account,svc-account-013,172.17.60.231,northeurope,False,Success,high,37.97,,0
evt-0000010,2025-04-02T00:37:14Z,azure,Microsoft.Compute/virtualMachines,Microsoft.Authorization/roleAssignments/write,service_account,svc-account-004,192.168.1.253.75,westeurope,False,Success,critical,100.0,,1
evt-0000011,2025-04-02T00:37:56Z,aws,rds:Instance,CreateKeyPair,user,user-0123,10.0.188.136,eu-west-1,True,Success,medium,26.67,14854.0,0
evt-0000012,2025-04-02T00:45:10Z,azure,Microsoft.Authorization/roleAssignments,Microsoft.Web/sites/write,service_account,svc-account-010,10.0.180.20,eastus,False,Success,low,11.08,,0
evt-0000013,2025-04-02T00:55:26Z,aws,rds:Instance,RunInstances,user,user-0021,172.17.34.110,us-west-2,True,Success,high,39.36,3392.0,0
evt-0000014,2025-04-02T00:56:10Z,gcp,iam.serviceAccounts,storage.buckets.create,service_account,svc-account-004,172.17.152.228,us-central1,True,Success,medium,27.74,,0
evt-0000015,2025-04-02T01:00:37Z,gcp,compute.instances,compute.instances.insert,user,user-0114,192.168.1.1.66,europe-west1,False,Success,medium,22.86,17444.0,0
evt-0000016,2025-04-02T01:02:04Z,aws,kms:Key,PutBucketPublicAccessBlock,service_account,svc-account-007,192.168.1.18.27,eu-central-1,True,Success,high,37.73,,0
evt-0000017,2025-04-02T01:04:57Z,aws,kms:Key,CreateUser,assumed_role,assumed-role/deploy-role-007,10.1.57.192,ap-southeast-1,True,Failure,high,58.26,21500.0,0
evt-0000018,2025-04-02T01:12:05Z,aws,rds:Instance,CreateBucket,service_account,svc-account-029,192.168.1.45.16,ap-southeast-1,False,Success,low,13.57,,0
evt-0000019,2025-04-02T01:12:16Z,aws,rds:Instance,DescribeInstances,assumed_role,assumed-role/deploy-role-008,10.1.40.41,us-east-2,False,Success,low,29.27,17975.0,0
evt-0000020,2025-04-02T01:16:38Z,aws,cloudtrail:Trail,PutPublicAccessBlock,service_account,svc-account-009,192.168.1.18.115,us-west-2,True,Success,medium,50.24,,0
evt-0000021,2025-04-02T01:21:15Z,aws,vpc:SecurityGroup,AttachRolePolicy,user,user-0113,172.16.24.160,us-east-2,True,Success,medium,29.8,26815.0,0
evt-0000022,2025-04-02T01:28:38Z,azure,Microsoft.Network/networkSecurityGroups,Microsoft.KeyVault/vaults/delete,user,user-0136,192.168.0.95.128,eastus,True,Success,medium,38.92,15764.0,0
evt-0000023,2025-04-02T01:31:11Z,azure,Microsoft.Sql/servers,Microsoft.Sql/servers/write,service_account,svc-account-018,192.168.1.166.7,westeurope,True,Success,low,12.56,,0
evt-0000024,2025-04-02T01:35:32Z,aws,s3:Bucket,CreateBucket,service_account,svc-account-016,10.0.236.184,us-west-2,True,Success,low,10.94,,0
evt-0000025,2025-04-02T01:59:34Z,aws,s3:Bucket,CreateRole,user,user-0061,192.168.0.37.241,us-east-2,False,Success,medium,67.56,15221.0,1
evt-0000026,2025-04-02T02:03:33Z,aws,vpc:SecurityGroup,CreateBucket,user,user-0125,192.168.1.28.182,us-east-2,False,Success,low,3.79,22290.0,0
evt-0000027,2025-04-02T02:06:59Z,gcp,cloudsql.instances,storage.buckets.create,service_account,svc-account-024,172.16.180.16,australia-southeast1,True,Success,low,4.73,,0
evt-0000028,2025-04-02T02:15:11Z,aws,vpc:SecurityGroup,RunInstances,user,user-0110,10.0.188.33,us-east-1,True,Success,medium,24.96,21117.0,0
evt-0000029,2025-04-02T02:27:28Z,aws,rds:Instance,CreateBucket,user,user-0126,192.168.1.239.28,eu-central-1,True,Success,low,25.14,23718.0,0
evt-0000030,2025-04-02T02:27:41Z,aws,ec2:Instance,CreateRole,user,user-0121,10.1.205.110,us-east-1,False,Success,medium,30.84,1336.0,0
evt-0000031,2025-04-02T02:39:35Z,azure,Microsoft.Compute/virtualMachines,Microsoft.KeyVault/vaults/delete,service_account,svc-account-024,172.17.40.122,eastus,True,Success,low,43.11,,0
evt-0000032,2025-04-02T02:45:54Z,aws,cloudtrail:Trail,DeleteRole,service_account,svc-account-001,10.1.81.137,us-west-2,False,Success,critical,68.45,,0
evt-0000033,2025-04-02T02:55:01Z,gcp,cloudsql.instances,compute.instances.insert,service_account,svc-account-021,10.0.21.179,asia-east1,True,Denied,low,26.73,,0
evt-0000034,2025-04-02T02:56:55Z,azure,Microsoft.Authorization/roleAssignments,Microsoft.Storage/storageAccounts/write,user,user-0116,192.168.1.102.251,eastus,True,Denied,low,33.29,21842.0,0
evt-0000035,2025-04-02T03:00:39Z,aws,s3:Bucket,DescribeInstances,user,user-0051,192.168.0.81.125,eu-central-1,False,Success,low,13.07,23318.0,0
evt-0000036,2025-04-02T03:03:01Z,aws,kms:Key,DeleteRole,service_account,svc-account-021,172.16.1.222,us-west-2,True,Denied,medium,51.39,,0
evt-0000037,2025-04-02T03:03:23Z,azure,Microsoft.Compute/virtualMachines,Microsoft.Compute/virtualMachines/write,service_account,svc-account-007,192.168.0.36.136,westeurope,True,Success,low,15.76,,0
evt-0000038,2025-04-02T03:03:51Z,gcp,compute.instances,storage.buckets.create,user,user-0124,172.17.135.66,asia-east1,True,Success,critical,53.87,3233.0,0
evt-0000039,2025-04-02T03:09:14Z,aws,iam:Role,DeleteRole,user,user-0115,10.1.107.56,ap-southeast-1,True,Success,low,30.4,27238.0,0
evt-0000040,2025-04-02T03:10:55Z,azure,Microsoft.Sql/servers,Microsoft.Resources/deployments/write,root,root,172.16.134.90,westeurope,True,Success,low,27.54,,0
evt-0000041,2025-04-02T03:13:28Z,gcp,container.clusters,storage.buckets.create,user,user-0034,172.16.49.30,us-central1,True,Failure,high,35.44,28156.0,0
evt-0000042,2025-04-02T03:14:19Z,aws,lambda:Function,CreateUser,assumed_role,assumed-role/deploy-role-003,192.168.0.172.233,eu-central-1,True,Success,medium,28.36,25201.0,0
evt-0000043,2025-04-02T03:16:48Z,aws,ec2:Instance,CreateBucket,api_key,user-0089,10.1.2.186,eu-central-1,False,Success,low,15.24,,0
evt-0000044,2025-04-02T03:32:22Z,gcp,cloudsql.instances,iam.serviceAccounts.actAs,assumed_role,assumed-role/deploy-role-008,10.1.144.194,europe-west1,True,Success,low,31.16,18015.0,0
evt-0000045,2025-04-02T03:34:42Z,azure,Microsoft.Web/sites,Microsoft.Compute/virtualMachines/write,user,user-0077,192.168.1.199.4,westus2,True,Success,low,8.2,9620.0,0
evt-0000046,2025-04-02T03:35:53Z,aws,kms:Key,AuthorizeSecurityGroupIngress,root,root,10.1.125.88,us-east-1,True,Success,medium,71.63,,0
evt-0000047,2025-04-02T03:42:33Z,aws,kms:Key,CreateKeyPair,user,user-0060,192.168.0.106.135,us-east-2,True,Failure,critical,52.4,11614.0,0
evt-0000048,2025-04-02T04:10:19Z,gcp,cloudrun.services,iam.serviceAccounts.create,assumed_role,assumed-role/deploy-role-017,192.168.1.128.247,australia-southeast1,False,Success,critical,100.0,7548.0,1
evt-0000049,2025-04-02T04:16:14Z,aws,iam:Role,TerminateInstances,assumed_role,assumed-role/deploy-role-011,192.168.0.215.51,us-west-2,True,Denied,medium,50.23,12223.0,0
evt-0000050,2025-04-02T04:16:47Z,aws,ec2:Instance,CreateKeyPair,assumed_role,assumed-role/deploy-role-017,172.16.63.132,eu-central-1,True,Failure,low,32.81,25597.0,0
evt-0000051,2025-04-02T04:17:36Z,azure,Microsoft.Compute/virtualMachines,Microsoft.Resources/deployments/write,service_account,svc-account-002,10.1.57.85,northeurope,True,Success,low,11.9,,0
evt-0000052,2025-04-02T04:17:43Z,aws,ec2:Instance,CreateBucket,service_account,svc-account-014,172.17.119.98,eu-central-1,False,Failure,medium,30.81,,0
evt-0000053,2025-04-02T04:22:37Z,aws,s3:Bucket,DeleteBucket,service_account,svc-account-011,192.168.1.89.239,ap-southeast-1,True,Denied,medium,29.86,,0
evt-0000054,2025-04-02T04:22:44Z,azure,Microsoft.Sql/servers,Microsoft.Network/networkSecurityGroups/write,user,user-0017,172.16.112.175,westeurope,True,Success,low,10.73,21553.0,0
evt-0000055,2025-04-02T04:32:24Z,gcp,storage.buckets,compute.firewalls.insert,service_account,svc-account-026,172.16.178.175,us-east1,True,Success,low,15.29,,0
evt-0000056,2025-04-02T04:34:27Z,aws,lambda:Function,RunInstances,service_account,svc-account-024,10.1.105.208,us-east-2,True,Success,low,12.41,,0
evt-0000057,2025-04-02T04:58:00Z,azure,Microsoft.Network/networkSecurityGroups,Microsoft.Storage/storageAccounts/write,user,user-0010,10.1.47.212,southeastasia,True,Success,low,7.2,23855.0,0
evt-0000058,2025-04-02T05:02:24Z,aws,elb:LoadBalancer,TerminateInstances,service_account,svc-account-010,172.16.66.176,eu-west-1,False,Success,medium,21.86,,0
evt-0000059,2025-04-02T05:06:19Z,gcp,container.clusters,iam.serviceAccounts.keys.create,user,user-0041,172.16.44.155,us-east1,False,Denied,low,43.36,4365.0,0
evt-0000060,2025-04-02T05:10:50Z,aws,vpc:SecurityGroup,DescribeInstances,user,user-0129,10.0.15.186,ap-southeast-1,True,Success,low,21.45,5909.0,0
evt-0000061,2025-04-02T05:22:33Z,aws,elb:LoadBalancer,CreateUser,service_account,svc-account-011,10.1.244.190,eu-west-1,True,Failure,medium,64.28,,1
evt-0000062,2025-04-02T05:23:17Z,aws,ec2:Instance,AttachRolePolicy,assumed_role,assumed-role/deploy-role-006,10.1.182.172,us-east-2,False,Success,low,26.27,19862.0,0
evt-0000063,2025-04-02T05:29:54Z,aws,elb:LoadBalancer,RunInstances,user,user-0081,10.0.150.241,ap-southeast-1,True,Success,medium,24.32,20560.0,0
evt-0000064,2025-04-02T05:31:59Z,aws,vpc:SecurityGroup,DeleteBucket,assumed_role,assumed-role/deploy-role-012,192.168.0.193.18,us-east-1,True,Failure,low,39.05,28715.0,0
